doc Pairs 	hash similarity 	line similarity 	Link
input/9a3d8ae7a2b4dde2c820343622f57228_6_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	66.61367249602544	119	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/621c313bdb694cdcf20423d945aca818_4_ShiftTacToe.java	66.56193895870736	132	Link
input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java - input/589cf3a984b500c2634e8e0623cec5ed_4_ShiftTacToe.java	66.50768415474298	114	Link
input/671876dc67820e32d22c7beae566db0d_1_ShiftTacToe.java - input/2f6b47a952b77825e95a124e7b2733cd_19_ShiftTacToe.java	66.39806607574536	156	Link
input/3feeecacf7ece64a3d68315f4047e69c_8_ShiftTacToe.java - input/339ccebacc2434df9b5905d71ab9aca1_14_ShiftTacToe.java	66.38733705772812	123	Link
input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	66.29570747217807	108	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/4622264bcfb32221de1be4d360e00464_1_ShiftTacToe.java	66.24775583482945	141	Link
input/f6e6830a867e10ae5b243957ebc8f960_2_ShiftTacToe.java - input/339ccebacc2434df9b5905d71ab9aca1_14_ShiftTacToe.java	66.10800744878958	134	Link
input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java - input/9a3d8ae7a2b4dde2c820343622f57228_6_ShiftTacToe.java	66.03015075376885	125	Link
input/4622264bcfb32221de1be4d360e00464_1_ShiftTacToe.java - input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java	66.02079395085066	127	Link
input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java - input/f2ce9448bbd396a31167a703b429dcba_2_ShiftTacToe.java	66.02079395085066	132	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/06984fed6eee7049dd84f5f9caaf019e_1_ShiftTacToe.java	65.93357271095152	133	Link
input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java - input/9a3d8ae7a2b4dde2c820343622f57228_6_ShiftTacToe.java	65.92627599243856	126	Link
input/06984fed6eee7049dd84f5f9caaf019e_1_ShiftTacToe.java - input/9db397d35f4791bdc1e91669e7476707_6_ShiftTacToe.java	65.81508515815085	146	Link
input/0b60c7fcd21b6202476ddb020f6ef5e1_3_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	65.76576576576576	123	Link
input/06984fed6eee7049dd84f5f9caaf019e_1_ShiftTacToe.java - input/f5570c008d4ea2c45bfcb77778d6c755_1_ShiftTacToe.java	65.72734196496573	150	Link
input/06984fed6eee7049dd84f5f9caaf019e_1_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	65.65977742448331	100	Link
input/2f6b47a952b77825e95a124e7b2733cd_19_ShiftTacToe.java - input/f2ce9448bbd396a31167a703b429dcba_2_ShiftTacToe.java	65.53998351195384	147	Link
input/621c313bdb694cdcf20423d945aca818_4_ShiftTacToe.java - input/e4e9eec9f010822395614a2efcea7657_18_ShiftTacToe.java	65.53180914512923	227	Link
input/4622264bcfb32221de1be4d360e00464_1_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	65.44780074191839	119	Link
input/474841454631ad234c97b25ae79f5004_7_ShiftTacToe.java - input/8e0adf9a436b68df09494829a83f6931_2_ShiftTacToe.java	65.40240518038853	130	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java	65.26465028355388	123	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/f5570c008d4ea2c45bfcb77778d6c755_1_ShiftTacToe.java	65.12567324955117	122	Link
input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java - input/9db397d35f4791bdc1e91669e7476707_6_ShiftTacToe.java	65.02835538752363	127	Link
input/948b099ede09005b839a065e69c92724_5_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	64.9178590355061	115	Link
input/621c313bdb694cdcf20423d945aca818_4_ShiftTacToe.java - input/339ccebacc2434df9b5905d71ab9aca1_14_ShiftTacToe.java	64.8975791433892	118	Link
input/fad06c12ac6ec9fdcf690d1b20ce4f1c_4_ShiftTacToe.java - input/9a3d8ae7a2b4dde2c820343622f57228_6_ShiftTacToe.java	64.88174921909862	136	Link
input/f30a5a1528a487715faed9b7ced01fb8_2_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	64.84235574063058	115	Link
input/f5570c008d4ea2c45bfcb77778d6c755_1_ShiftTacToe.java - input/339ccebacc2434df9b5905d71ab9aca1_14_ShiftTacToe.java	64.66480446927375	121	Link
input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java - input/f2ce9448bbd396a31167a703b429dcba_2_ShiftTacToe.java	64.62311557788945	127	Link
input/3feeecacf7ece64a3d68315f4047e69c_8_ShiftTacToe.java - input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java	64.4524236983842	145	Link
input/96d1682f2b6c81d812b312804c6d1906_3_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	64.3879173290938	101	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/f7a882ba9262e489830a52a5b5b421f7_2_ShiftTacToe.java	64.36265709156194	139	Link
input/a96058ad215dfc065010765cf1da256c_9_ShiftTacToe.java - input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java	64.18312387791741	144	Link
input/3feeecacf7ece64a3d68315f4047e69c_8_ShiftTacToe.java - input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java	64.17769376181475	134	Link
input/9b6914294498cfa098110141fe202d20_4_ShiftTacToe.java - input/339ccebacc2434df9b5905d71ab9aca1_14_ShiftTacToe.java	64.15270018621973	118	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/eada16d94f898924e69e5d7b25f42a7e_3_ShiftTacToe.java	64.04847396768402	139	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/8e0adf9a436b68df09494829a83f6931_2_ShiftTacToe.java	64.01480111008325	130	Link
input/474841454631ad234c97b25ae79f5004_7_ShiftTacToe.java - input/339ccebacc2434df9b5905d71ab9aca1_14_ShiftTacToe.java	64.01303538175047	130	Link
